图书ID,书名,作者,出版社,是否借出
1,毛泽东同志论教育工作,毛泽东著,人民教育出版社,0
2,毛泽东论文艺,毛泽东著,人民文学出版社,0
3,列宁论中国,中共中央马克思恩格斯列宁斯大林著作编译局编译,人民出版社,0
4,马克思 恩格斯 列宁 斯大林论资本主义,主编吕薇洲,中国社会科学出版社,0
5,马克思 恩格斯 列宁 斯大林论民族,本卷主编王希恩,中国社会科学出版社,0
6,马克思 恩格斯 列宁 斯大林论社会形态,本卷主编吴玉贵,中国社会科学出版社,0
7,恩格斯传,陈林著,天地出版社,0
8,列宁.修订本,(美) 路易斯·费希尔著,国际文化出版公司,0
9,列宁传,季正矩著,天地出版社,0
10,列宁画传:列宁诞辰150周年纪念版,中共中央党史和文献研究院编,重庆出版社,0
11,十月的风:弗拉基米尔·伊里奇·列宁:事件与回忆,俄罗斯联邦共产党中央委员会组织编写,中央编译出版社,0
12,列宁,郑春兴主编,时代文艺出版社,0
13,斯大林传,(英) 罗伯特·谢伟思著,华文出版社,0
14,青年斯大林,(英) 西蒙·蒙蒂菲奥里著,民主与建设出版社,0
15,斯大林传,戴隆斌著,人民日报出版社,0
16,斯大林,郑春兴主编,时代文艺出版社,0
17,毛泽东传,蒋建农著,红旗出版社,0
18,毛泽东传,(美) 罗斯·特里尔著,中国人民大学出版社,0
19,毛泽东自传:中英文插图影印典藏版:collector's illustrated bilingual version.第2版,埃德加·斯诺笔录,中国青年出版社,0
20,毛泽东传,(美)R.特里尔著,河北人民出版社,0
21,毛泽东传,(英)  迪克·威尔逊著,国际文化出版公司,0
22,毛泽东传,(美) 罗斯·特里尔著,中国人民大学出版社,0
23,毛泽东自述.第3版,人民出版社,人民出版社,0
24,毛泽东传.第3版,菲力普·肖特著,中国青年出版社,0
25,毛泽东自传:中英文插图影印典藏版:collector's illustrated bilingual version.第3版,埃德加·斯诺笔录,中国青年出版社,0
26,伟人毛泽东,何明编,中央文献出版社,0
27,当惊世界殊:毛泽东与国际人士的交往,主编王爱枝,山西人民出版社,0
28,江天水一泓:毛泽东与文化名人的交往,主编王爱枝,山西人民出版社,0
